student_id,gender,year_of_study,department,sleep_time,wake_up_time,alarm_usage,morning_productivity,night_productivity,cleanliness_score,room_organization_level,noise_tolerance,study_noise_preference,fan_or_cooler_preference,study_habit,daily_study_hours,food_preference,exam_preparation_style,introvert_extrovert_score,social_frequency,relationship_status,smoking_drinking,workout,gaming,anime,room_stay_duration,career_interest,cult_sports,language
2001,female,1,ME,2,7,0,1,6,6,1,1,light_music,cooler,regular,4,non_veg,group_study,7,medium,committed,0,0,0,0,10,robotics,sports,Telugu
2002,male,2,CSE,0,7,0,8,6,3,9,0,cafe_noise,fan,regular,4,non_veg,group_study,8,medium,committed,1,0,0,0,13,electronics,both,Multilingual
2003,female,1,CSE,1,7,1,1,7,0,6,6,silence,fan,night_before,0,non_veg,group_study,4,medium,single,0,1,1,0,17,ai_ml,sports,Hindi
2004,female,3,Metallurgy,23,8,0,4,10,4,4,8,silence,fan,regular,2,veg,early_planner,8,medium,single,0,0,0,0,11,software,none,Telugu
2005,male,4,ME,1,5,0,5,8,0,6,9,cafe_noise,cooler,night_before,2,non_veg,group_study,0,medium,committed,0,1,0,0,14,ai_ml,cultural,Telugu
2006,male,2,MNC,4,7,1,3,10,8,0,9,silence,fan,exam_crammer,0,non_veg,group_study,1,medium,committed,0,0,0,0,17,management,sports,Multilingual
2007,female,4,MNC,0,8,1,1,6,0,5,5,light_music,fan,exam_crammer,3,veg,early_planner,6,high,committed,0,0,1,1,10,management,none,Hindi
2008,female,3,ME,23,10,1,4,5,10,6,9,cafe_noise,fan,regular,4,veg,group_study,2,medium,single,0,0,0,1,17,software,cultural,English
2009,female,2,Others,1,10,0,9,6,0,6,3,silence,fan,night_before,2,veg,last_minute,3,low,single,0,1,0,0,13,mechanical,none,Multilingual
2010,female,4,MNC,2,9,1,7,6,3,7,10,cafe_noise,fan,exam_crammer,4,veg,group_study,1,medium,single,0,0,0,1,17,software,both,Dont Care
2011,male,3,ECE,22,8,0,3,7,2,6,0,silence,cooler,exam_crammer,1,non_veg,group_study,6,medium,single,0,0,0,0,11,management,none,Tamil
2012,male,1,ECE,2,8,0,2,6,8,3,5,light_music,cooler,regular,2,non_veg,last_minute,7,medium,committed,0,0,1,0,10,civil,both,Dont Care
2013,male,2,Metallurgy,0,9,1,9,6,8,6,0,silence,fan,regular,5,veg,last_minute,1,medium,committed,0,0,0,0,13,civil,none,Telugu
2014,female,1,EEE,0,9,1,9,6,2,9,1,cafe_noise,fan,regular,5,veg,last_minute,10,medium,single,0,0,0,0,9,civil,cultural,Hindi
2015,female,1,Others,3,8,1,5,6,5,3,2,silence,cooler,night_before,6,veg,early_planner,3,low,single,0,0,1,0,17,civil,sports,Tamil
2016,male,1,ECE,3,8,1,0,9,2,9,8,silence,fan,exam_crammer,7,non_veg,group_study,8,low,single,0,0,0,0,19,ai_ml,both,Dont Care
2017,female,1,Civil,0,7,0,1,7,0,5,9,cafe_noise,fan,night_before,4,veg,last_minute,2,high,committed,0,1,1,1,14,civil,both,Tamil
2018,female,2,ECE,0,7,1,8,10,10,6,2,cafe_noise,cooler,exam_crammer,5,non_veg,group_study,8,medium,single,0,0,1,0,13,civil,cultural,Tamil
2019,female,4,ME,23,6,1,4,10,7,5,4,silence,cooler,night_before,3,non_veg,early_planner,9,medium,committed,0,0,0,0,17,mechanical,none,Hindi
2020,female,3,Civil,0,8,1,4,8,1,1,2,cafe_noise,fan,night_before,0,non_veg,early_planner,0,high,single,0,0,1,1,12,ai_ml,cultural,Telugu
2021,male,2,AI,3,8,1,6,8,4,8,3,silence,cooler,night_before,2,non_veg,early_planner,9,medium,single,0,0,0,0,12,robotics,both,English
2022,female,3,EEE,4,7,1,9,6,8,8,3,light_music,fan,exam_crammer,5,non_veg,last_minute,4,high,committed,0,0,1,0,15,management,sports,Hindi
2023,male,1,Civil,1,7,1,9,7,0,8,1,light_music,cooler,exam_crammer,5,veg,last_minute,5,low,committed,1,0,1,0,12,civil,both,Hindi
2024,male,3,EEE,3,7,1,1,6,0,3,10,light_music,cooler,regular,1,veg,group_study,5,low,single,1,0,1,0,15,robotics,both,Multilingual
2025,female,2,ME,3,8,1,5,8,7,7,7,silence,cooler,night_before,3,veg,last_minute,10,medium,committed,0,0,1,0,9,management,sports,Hindi
2026,male,3,ECE,23,8,1,10,7,9,8,10,cafe_noise,cooler,night_before,4,veg,group_study,2,medium,single,1,0,0,0,13,mechanical,none,Hindi
2027,male,4,Others,2,7,1,4,6,10,10,3,cafe_noise,cooler,night_before,3,veg,last_minute,1,low,single,0,0,0,0,14,ai_ml,none,Dont Care
2028,male,3,MNC,2,7,1,5,2,3,10,2,light_music,fan,night_before,4,veg,last_minute,0,high,committed,1,0,1,0,11,management,sports,Hindi
2029,male,3,Civil,2,10,0,4,8,0,8,9,cafe_noise,cooler,regular,4,veg,early_planner,7,medium,single,0,0,0,0,12,electronics,sports,Telugu
2030,female,1,ECE,3,6,1,8,9,1,8,0,cafe_noise,fan,regular,4,veg,group_study,8,medium,committed,0,0,0,1,14,management,none,Hindi
2031,male,2,MNC,3,5,1,7,4,7,4,7,cafe_noise,cooler,exam_crammer,1,non_veg,group_study,7,high,committed,0,0,1,1,22,electronics,cultural,Hindi
2032,female,2,MNC,22,7,0,5,10,0,6,8,silence,fan,exam_crammer,5,non_veg,last_minute,7,high,committed,0,0,0,1,14,mechanical,none,English
2033,female,1,CSE,1,7,1,5,7,2,7,2,light_music,fan,exam_crammer,2,non_veg,group_study,1,medium,committed,0,0,0,0,11,robotics,both,Dont Care
2034,female,1,Metallurgy,1,8,1,0,0,6,8,9,silence,cooler,regular,2,non_veg,group_study,10,medium,single,0,0,0,0,8,ai_ml,none,Multilingual
2035,female,3,MNC,0,10,1,6,7,3,7,1,silence,cooler,exam_crammer,2,non_veg,group_study,0,high,single,0,1,1,0,8,electronics,cultural,Hindi
2036,female,2,ME,0,5,1,6,6,4,10,5,silence,fan,night_before,0,non_veg,group_study,8,medium,single,1,0,0,0,17,ai_ml,none,Hindi
2037,male,2,Others,0,10,1,4,10,3,5,2,cafe_noise,cooler,exam_crammer,7,non_veg,early_planner,8,low,committed,0,0,0,0,15,civil,none,Multilingual
2038,female,1,Civil,0,9,1,7,10,8,0,9,light_music,cooler,night_before,3,non_veg,last_minute,9,medium,committed,0,0,0,0,11,electronics,both,Multilingual
2039,female,2,Others,22,7,1,7,9,9,8,5,cafe_noise,fan,exam_crammer,5,veg,last_minute,3,medium,single,0,1,0,1,18,ai_ml,sports,Dont Care
2040,female,2,Civil,23,9,0,5,10,6,10,9,light_music,cooler,night_before,5,veg,group_study,4,medium,single,0,0,0,0,16,ai_ml,sports,Hindi
2041,male,1,ME,23,7,1,7,8,10,1,10,cafe_noise,fan,regular,2,veg,early_planner,5,low,single,0,0,1,0,13,management,both,Hindi
2042,male,2,ME,0,7,1,10,6,3,8,7,light_music,cooler,exam_crammer,0,non_veg,group_study,0,medium,single,0,0,1,0,22,civil,none,Multilingual
2043,male,3,MNC,23,7,1,7,7,7,10,3,cafe_noise,fan,exam_crammer,4,non_veg,last_minute,1,medium,single,0,0,1,1,16,management,both,English
2044,male,4,ECE,4,8,1,4,8,6,5,2,cafe_noise,cooler,exam_crammer,4,veg,early_planner,8,medium,committed,0,0,0,1,14,software,sports,English
2045,female,2,Civil,2,8,1,7,8,3,10,1,light_music,fan,night_before,1,non_veg,early_planner,0,low,single,0,0,1,0,13,software,sports,Telugu
2046,male,1,Others,1,10,0,4,7,4,9,1,light_music,fan,regular,5,non_veg,last_minute,2,medium,single,0,0,1,0,11,civil,both,Tamil
2047,female,3,ECE,0,5,0,7,10,9,7,10,light_music,cooler,night_before,0,non_veg,last_minute,0,medium,single,1,0,0,0,14,mechanical,none,Telugu
2048,male,4,Civil,0,10,1,5,7,10,3,9,light_music,fan,exam_crammer,4,non_veg,early_planner,9,high,committed,0,1,1,1,13,civil,cultural,English
2049,male,4,Metallurgy,3,7,1,9,9,0,8,5,silence,cooler,regular,6,veg,last_minute,9,medium,committed,0,1,1,0,10,robotics,cultural,Multilingual
2050,female,4,ECE,4,7,1,8,6,0,3,7,silence,fan,regular,4,veg,last_minute,2,high,committed,0,0,0,0,15,electronics,both,English
2051,female,2,MNC,2,6,1,9,8,6,2,10,light_music,cooler,exam_crammer,7,non_veg,last_minute,10,high,committed,0,1,1,1,22,software,sports,Telugu
2052,male,4,Civil,1,10,1,0,10,2,6,5,light_music,fan,regular,0,veg,last_minute,0,low,single,0,0,0,0,9,mechanical,sports,Telugu
2053,male,1,MNC,2,10,0,5,8,3,8,8,silence,cooler,night_before,0,veg,last_minute,3,high,single,0,0,0,0,16,management,none,Multilingual
2054,female,3,ME,2,8,1,0,10,0,3,4,cafe_noise,fan,night_before,6,non_veg,last_minute,1,medium,committed,0,1,1,0,13,ai_ml,cultural,Multilingual
2055,female,1,ME,2,7,0,0,10,9,3,4,light_music,cooler,regular,4,non_veg,group_study,5,high,committed,0,0,0,0,11,management,cultural,Tamil
2056,male,2,Metallurgy,3,7,0,5,6,2,3,1,cafe_noise,fan,exam_crammer,5,veg,early_planner,7,medium,committed,0,0,0,0,15,electronics,both,English
2057,female,3,ME,0,8,1,0,10,5,1,9,cafe_noise,fan,regular,2,veg,group_study,4,medium,single,0,0,1,0,18,ai_ml,none,Dont Care
2058,male,2,CSE,3,5,1,4,10,10,2,8,cafe_noise,cooler,exam_crammer,2,veg,early_planner,6,low,single,0,0,0,1,9,management,none,Hindi
2059,male,2,ME,0,9,0,7,10,5,8,3,silence,fan,regular,3,veg,last_minute,10,medium,committed,0,1,0,0,16,management,both,English
2060,female,1,MNC,0,9,0,2,4,9,2,2,light_music,cooler,exam_crammer,8,veg,last_minute,7,medium,single,0,1,0,1,11,robotics,none,Telugu
2061,male,1,Others,0,10,1,7,8,9,1,8,light_music,fan,regular,5,veg,last_minute,7,high,single,0,0,1,1,14,ai_ml,cultural,Tamil
2062,male,4,EEE,22,9,1,1,8,1,1,8,silence,fan,exam_crammer,9,non_veg,last_minute,3,medium,single,0,1,0,1,17,electronics,none,Dont Care
2063,male,1,CSE,1,10,1,3,10,10,3,7,cafe_noise,fan,regular,4,veg,group_study,1,high,single,0,0,1,1,18,software,none,English
2064,female,3,ECE,22,7,0,1,9,6,9,1,light_music,fan,regular,3,non_veg,group_study,5,high,committed,0,0,0,0,10,management,sports,Telugu
2065,female,4,Civil,22,9,1,8,2,2,0,8,silence,fan,exam_crammer,2,veg,last_minute,1,medium,single,0,1,0,0,18,robotics,both,Telugu
2066,male,1,CSE,0,7,0,7,6,9,9,0,cafe_noise,fan,exam_crammer,6,non_veg,group_study,8,high,committed,0,1,1,1,15,ai_ml,both,Dont Care
