student_id,gender,year_of_study,department,sleep_time,wake_up_time,alarm_usage,morning_productivity,night_productivity,cleanliness_score,room_organization_level,noise_tolerance,study_noise_preference,fan_or_cooler_preference,study_habit,daily_study_hours,food_preference,exam_preparation_style,introvert_extrovert_score,social_frequency,relationship_status,smoking_drinking,workout,gaming,anime,room_stay_duration,career_interest,cult_sports,language
1001,male,2,Metallurgy,23,6,1,10,5,3,2,3,silence,cooler,regular,2,non_veg,group_study,0,high,single,0,1,0,0,8,mechanical,both,English
1002,female,3,AI,23,7,1,10,0,10,10,8,light_music,fan,night_before,2,non_veg,last_minute,1,medium,committed,0,0,0,0,9,software,cultural,English
1003,male,1,Metallurgy,3,7,0,10,6,5,5,5,cafe_noise,fan,exam_crammer,1,veg,early_planner,7,medium,committed,0,0,1,1,19,management,both,English
1004,male,1,ECE,23,9,0,1,2,8,8,4,silence,fan,regular,5,non_veg,last_minute,6,low,single,0,0,0,0,16,civil,none,Hindi
1005,male,1,CSE,22,10,1,3,2,2,4,2,cafe_noise,fan,regular,4,veg,early_planner,9,high,single,0,0,0,0,10,ai_ml,none,Tamil
1006,female,1,Civil,2,6,1,8,10,8,9,4,cafe_noise,cooler,night_before,2,veg,group_study,8,medium,single,0,1,1,1,17,robotics,both,English
1007,male,4,ECE,22,9,1,5,0,3,2,4,light_music,fan,regular,6,non_veg,group_study,4,medium,committed,0,0,0,0,12,electronics,sports,Multilingual
1008,male,1,EEE,0,7,0,6,6,4,6,3,light_music,cooler,exam_crammer,5,non_veg,last_minute,1,medium,committed,0,1,0,0,15,electronics,cultural,Telugu
1009,male,4,EEE,23,10,1,1,2,6,8,5,silence,cooler,regular,2,veg,last_minute,6,high,committed,0,0,0,0,8,electronics,sports,Dont Care
1010,female,4,Metallurgy,3,5,1,9,6,5,3,2,cafe_noise,cooler,regular,4,non_veg,early_planner,7,low,single,0,1,1,0,11,robotics,both,Dont Care
1011,male,1,Others,23,8,0,3,6,9,10,9,light_music,fan,exam_crammer,5,non_veg,early_planner,6,high,single,0,0,0,0,15,ai_ml,both,Hindi
